gene,no_dox_shNC_1,no_dox_shNC_2,DUX4_NC_1,DUX4_NC_2,DUX4_3ASO_1,DUX4_3ASO_2
TAF11L13,0,0,34.75026,34.22218,8.943984,11.83881
TAF11L14,0,0,47.30853,48.63577,14.93583,18.14537
TAF11L2,0,0,8.213697,11.04716,7.292787,9.027094
TAF11L3,0,0,2.106076,2.521635,1.651197,0.4439555
TAF11L4,0,0,2.843203,7.20467,0.6879988,4.291569
TAF11L6,0,0,1.684861,3.722413,3.577594,2.811718
TAF11L8,0,0,2.737899,3.722413,1.238398,1.923807
TAF11L9,0,0,2.527291,1.801168,0.9631983,1.923807
TEX37,1.224366308,1.741591366,7.720431519,7.545944077,6.176470331,6.753352403
TRIM43,0,0,106.6767201,137.0861312,3.722968373,6.187939394
TRIM43B,0,0,77.07537684,95.32409332,1.969953367,4.131340832
TRIM48,0,0,16.1987,19.49755,0.5599663,0.542007
TRIM49,0,0,337.2056,411.9901,15.41919,15.43931
TRIM49B,0,0,31.63673,42.30894,2.65971,2.574408
TRIM49C,0,0,350.4589,410.1341,15.95088,16.78718
TRIM49D1,0,0,236.6785,276.9072,13.70383,18.90237
TRIM49D2,0,0,327.2402,371.2847,19.90238,22.84932
TRIM51,0,0,15.23617,23.83027,1.031322,1.157386
TRIM51GP,0,0,1.044549,1.146983,0.1516561,0.8698795
TRIM64,0,0,170.8245,196.6591,10.48914,10.53259
TRIM64B,0,0,183.7596,203.2761,14.08323,14.45621
TRIM64C,0,0,2.927259,3.761818,0,0
TTC39C,5.505049,5.521177,26.64037,25.12218,18.86822,17.56373
TYW1B,1.018378,0.8521091,9.231451,12.32867,11.88639,12.94602
UCP1,0.09041126,0.1587714,1.047126,1.10559,1.621657,1.090033
USP17L2,0.02557708,0.05389916,0.7241153,0.7881758,2.279473,1.896457
USP17L7,0.07248103,0.05091365,0.4352766,0.6381585,1.056293,0.6553942
USP29,0,0,0.4036105,0.4602367,0.5062993,0.6579525
VIT,0.026335426,0,0.118615794,0.34780497,1.107103173,1.071595974
ZNF705A,0.161584,0.0851274,2.963106,4.426066,1.901972,2.386444
ZNF705D,0,0.03048487,0.2047765,0.2759621,0.53516,1.124941
ZNF705E,0.3406314,0.3439556,27.85335,36.71797,2.43434,2.361399
ZNF705G,0,0,0.5003087,1.081986,0.2930603,0.3879128
ZSCAN5C,0.02582041,0.1360299,166.1373,168.2283,4.211556,3.455438
